# obs, R_e, sig+, sig-, M, sig+, sig-, C, sig+, sig-, latexCite
#
1, 13.70, 2.60, 1.50, 2.080, 0.070, 0.070, , , , MCMiller:2021
2, 12.39, 1.30, 0.98, 2.072, 0.067, 0.066, , , , TERiley:2021
