$application = New-Object -ComObject Visio.Application
$application | Get-Member


   TypeName:Microsoft.Office.Interop.Visio.ApplicationClass

Name                                MemberType            Definition
BeforeSuspendEvents                 Event                 Microsoft.Office.Interop.Visio.EApplication_BeforeSuspendE...
BeforeWindowClosed                  Event                 Microsoft.Office.Interop.Visio.EApplication_BeforeWindowCl...
BeforeWindowPageTurn                Event                 Microsoft.Office.Interop.Visio.EApplication_BeforeWindowPa...
BeforeWindowSelDelete               Event                 Microsoft.Office.Interop.Visio.EApplication_BeforeWindowSe...
CalloutRelationshipAdded            Event                 Microsoft.Office.Interop.Visio.EApplication_CalloutRelatio...
CalloutRelationshipDeleted          Event                 Microsoft.Office.Interop.Visio.EApplication_CalloutRelatio...
CellChanged                         Event                 Microsoft.Office.Interop.Visio.EApplication_CellChangedEve...
ConnectionsAdded                    Event                 Microsoft.Office.Interop.Visio.EApplication_ConnectionsAdd...
ConnectionsDeleted                  Event                 Microsoft.Office.Interop.Visio.EApplication_ConnectionsDel...
ContainerRelationshipAdded          Event                 Microsoft.Office.Interop.Visio.EApplication_ContainerRelat...
ContainerRelationshipDeleted        Event                 Microsoft.Office.Interop.Visio.EApplication_ContainerRelat...
ConvertToGroupCanceled              Event                 Microsoft.Office.Interop.Visio.EApplication_ConvertToGroup...
DataRecordsetAdded                  Event                 Microsoft.Office.Interop.Visio.EApplication_DataRecordsetA...
DataRecordsetChanged                Event                 Microsoft.Office.Interop.Visio.EApplication_DataRecordsetC...
DesignModeEntered                   Event                 Microsoft.Office.Interop.Visio.EApplication_DesignModeEnte...
DocumentChanged                     Event                 Microsoft.Office.Interop.Visio.EApplication_DocumentChange...
DocumentCloseCanceled               Event                 Microsoft.Office.Interop.Visio.EApplication_DocumentCloseC...
DocumentCreated                     Event                 Microsoft.Office.Interop.Visio.EApplication_DocumentCreate...
DocumentOpened                      Event                 Microsoft.Office.Interop.Visio.EApplication_DocumentOpened...
DocumentSaved                       Event                 Microsoft.Office.Interop.Visio.EApplication_DocumentSavedE...
DocumentSavedAs                     Event                 Microsoft.Office.Interop.Visio.EApplication_DocumentSavedA...
EnterScope                          Event                 Microsoft.Office.Interop.Visio.EApplication_EnterScopeEven...
ExitScope                           Event                 Microsoft.Office.Interop.Visio.EApplication_ExitScopeEvent...
FormulaChanged                      Event                 Microsoft.Office.Interop.Visio.EApplication_FormulaChanged...
GroupCanceled                       Event                 Microsoft.Office.Interop.Visio.EApplication_GroupCanceledE...
KeyDown                             Event                 Microsoft.Office.Interop.Visio.EApplication_KeyDownEventHa...
KeyPress                            Event                 Microsoft.Office.Interop.Visio.EApplication_KeyPressEventH...
KeyUp                               Event                 Microsoft.Office.Interop.Visio.EApplication_KeyUpEventHand...
MarkerEvent                         Event                 Microsoft.Office.Interop.Visio.EApplication_MarkerEventEve...
MasterAdded                         Event                 Microsoft.Office.Interop.Visio.EApplication_MasterAddedEve...
MasterChanged                       Event                 Microsoft.Office.Interop.Visio.EApplication_MasterChangedE...
MasterDeleteCanceled                Event                 Microsoft.Office.Interop.Visio.EApplication_MasterDeleteCa...
MouseDown                           Event                 Microsoft.Office.Interop.Visio.EApplication_MouseDownEvent...
MouseMove                           Event                 Microsoft.Office.Interop.Visio.EApplication_MouseMoveEvent...
MouseUp                             Event                 Microsoft.Office.Interop.Visio.EApplication_MouseUpEventHa...
MustFlushScopeBeginning             Event                 Microsoft.Office.Interop.Visio.EApplication_MustFlushScope...
MustFlushScopeEnded                 Event                 Microsoft.Office.Interop.Visio.EApplication_MustFlushScope...
NoEventsPending                     Event                 Microsoft.Office.Interop.Visio.EApplication_NoEventsPendin...
OnKeystrokeMessageForAddon          Event                 Microsoft.Office.Interop.Visio.EApplication_OnKeystrokeMes...
PageAdded                           Event                 Microsoft.Office.Interop.Visio.EApplication_PageAddedEvent...
PageChanged                         Event                 Microsoft.Office.Interop.Visio.EApplication_PageChangedEve...
PageDeleteCanceled                  Event                 Microsoft.Office.Interop.Visio.EApplication_PageDeleteCanc...
QueryCancelConvertToGroup           Event                 Microsoft.Office.Interop.Visio.EApplication_QueryCancelCon...
QueryCancelDocumentClose            Event                 Microsoft.Office.Interop.Visio.EApplication_QueryCancelDoc...
QueryCancelGroup                    Event                 Microsoft.Office.Interop.Visio.EApplication_QueryCancelGro...
QueryCancelMasterDelete             Event                 Microsoft.Office.Interop.Visio.EApplication_QueryCancelMas...
QueryCancelPageDelete               Event                 Microsoft.Office.Interop.Visio.EApplication_QueryCancelPag...
QueryCancelQuit                     Event                 Microsoft.Office.Interop.Visio.EApplication_QueryCancelQui...
QueryCancelReplaceShapes            Event                 Microsoft.Office.Interop.Visio.EApplication_QueryCancelRep...
QueryCancelSelectionDelete          Event                 Microsoft.Office.Interop.Visio.EApplication_QueryCancelSel...
QueryCancelStyleDelete              Event                 Microsoft.Office.Interop.Visio.EApplication_QueryCancelSty...
QueryCancelSuspend                  Event                 Microsoft.Office.Interop.Visio.EApplication_QueryCancelSus...
QueryCancelSuspendEvents            Event                 Microsoft.Office.Interop.Visio.EApplication_QueryCancelSus...
QueryCancelUngroup                  Event                 Microsoft.Office.Interop.Visio.EApplication_QueryCancelUng...
QueryCancelWindowClose              Event                 Microsoft.Office.Interop.Visio.EApplication_QueryCancelWin...
QuitCanceled                        Event                 Microsoft.Office.Interop.Visio.EApplication_QuitCanceledEv...
ReplaceShapesCanceled               Event                 Microsoft.Office.Interop.Visio.EApplication_ReplaceShapesC...
RuleSetValidated                    Event                 Microsoft.Office.Interop.Visio.EApplication_RuleSetValidat...
RunModeEntered                      Event                 Microsoft.Office.Interop.Visio.EApplication_RunModeEntered...
SelectionAdded                      Event                 Microsoft.Office.Interop.Visio.EApplication_SelectionAdded...
SelectionChanged                    Event                 Microsoft.Office.Interop.Visio.EApplication_SelectionChang...
SelectionDeleteCanceled             Event                 Microsoft.Office.Interop.Visio.EApplication_SelectionDelet...
ShapeAdded                          Event                 Microsoft.Office.Interop.Visio.EApplication_ShapeAddedEven...
ShapeChanged                        Event                 Microsoft.Office.Interop.Visio.EApplication_ShapeChangedEv...
ShapeDataGraphicChanged             Event                 Microsoft.Office.Interop.Visio.EApplication_ShapeDataGraph...
ShapeExitedTextEdit                 Event                 Microsoft.Office.Interop.Visio.EApplication_ShapeExitedTex...
ShapeLinkAdded                      Event                 Microsoft.Office.Interop.Visio.EApplication_ShapeLinkAdded...
ShapeLinkDeleted                    Event                 Microsoft.Office.Interop.Visio.EApplication_ShapeLinkDelet...
ShapeParentChanged                  Event                 Microsoft.Office.Interop.Visio.EApplication_ShapeParentCha...
StyleAdded                          Event                 Microsoft.Office.Interop.Visio.EApplication_StyleAddedEven...
StyleChanged                        Event                 Microsoft.Office.Interop.Visio.EApplication_StyleChangedEv...
StyleDeleteCanceled                 Event                 Microsoft.Office.Interop.Visio.EApplication_StyleDeleteCan...
SuspendCanceled                     Event                 Microsoft.Office.Interop.Visio.EApplication_SuspendCancele...
SuspendEventsCanceled               Event                 Microsoft.Office.Interop.Visio.EApplication_SuspendEventsC...
TextChanged                         Event                 Microsoft.Office.Interop.Visio.EApplication_TextChangedEve...
UngroupCanceled                     Event                 Microsoft.Office.Interop.Visio.EApplication_UngroupCancele...
ViewChanged                         Event                 Microsoft.Office.Interop.Visio.EApplication_ViewChangedEve...
VisioIsIdle                         Event                 Microsoft.Office.Interop.Visio.EApplication_VisioIsIdleEve...
WindowActivated                     Event                 Microsoft.Office.Interop.Visio.EApplication_WindowActivate...
WindowChanged                       Event                 Microsoft.Office.Interop.Visio.EApplication_WindowChangedE...
WindowCloseCanceled                 Event                 Microsoft.Office.Interop.Visio.EApplication_WindowCloseCan...
WindowOpened                        Event                 Microsoft.Office.Interop.Visio.EApplication_WindowOpenedEv...
WindowTurnedToPage                  Event                 Microsoft.Office.Interop.Visio.EApplication_WindowTurnedTo...
AddUndoUnit                         Method                void AddUndoUnit(System.Object pUndoUnit), void IVApplicat...
add_AfterModal                      Method                void add_AfterModal(Microsoft.Office.Interop.Visio.EApplic...
add_AfterRemoveHiddenInformation    Method                void add_AfterRemoveHiddenInformation(Microsoft.Office.Int...
add_AfterReplaceShapes              Method                void add_AfterReplaceShapes(Microsoft.Office.Interop.Visio...
add_AfterResume                     Method                void add_AfterResume(Microsoft.Office.Interop.Visio.EAppli...
add_AfterResumeEvents               Method                void add_AfterResumeEvents(Microsoft.Office.Interop.Visio....
add_AppActivated                    Method                void add_AppActivated(Microsoft.Office.Interop.Visio.EAppl...
add_AppDeactivated                  Method                void add_AppDeactivated(Microsoft.Office.Interop.Visio.EAp...
add_AppObjActivated                 Method                void add_AppObjActivated(Microsoft.Office.Interop.Visio.EA...
add_AppObjDeactivated               Method                void add_AppObjDeactivated(Microsoft.Office.Interop.Visio....
add_BeforeDataRecordsetDelete       Method                void add_BeforeDataRecordsetDelete(Microsoft.Office.Intero...
add_BeforeDocumentClose             Method                void add_BeforeDocumentClose(Microsoft.Office.Interop.Visi...
add_BeforeDocumentSave              Method                void add_BeforeDocumentSave(Microsoft.Office.Interop.Visio...
add_BeforeDocumentSaveAs            Method                void add_BeforeDocumentSaveAs(Microsoft.Office.Interop.Vis...
add_BeforeMasterDelete              Method                void add_BeforeMasterDelete(Microsoft.Office.Interop.Visio...
add_BeforeModal                     Method                void add_BeforeModal(Microsoft.Office.Interop.Visio.EAppli...
add_BeforePageDelete                Method                void add_BeforePageDelete(Microsoft.Office.Interop.Visio.E...
add_BeforeQuit                      Method                void add_BeforeQuit(Microsoft.Office.Interop.Visio.EApplic...
add_BeforeReplaceShapes             Method                void add_BeforeReplaceShapes(Microsoft.Office.Interop.Visi...
add_BeforeSelectionDelete           Method                void add_BeforeSelectionDelete(Microsoft.Office.Interop.Vi...
add_BeforeShapeDelete               Method                void add_BeforeShapeDelete(Microsoft.Office.Interop.Visio....
add_BeforeShapeTextEdit             Method                void add_BeforeShapeTextEdit(Microsoft.Office.Interop.Visi...
add_BeforeStyleDelete               Method                void add_BeforeStyleDelete(Microsoft.Office.Interop.Visio....
add_BeforeSuspend                   Method                void add_BeforeSuspend(Microsoft.Office.Interop.Visio.EApp...
add_BeforeSuspendEvents             Method                void add_BeforeSuspendEvents(Microsoft.Office.Interop.Visi...
add_BeforeWindowClosed              Method                void add_BeforeWindowClosed(Microsoft.Office.Interop.Visio...
add_BeforeWindowPageTurn            Method                void add_BeforeWindowPageTurn(Microsoft.Office.Interop.Vis...
add_BeforeWindowSelDelete           Method                void add_BeforeWindowSelDelete(Microsoft.Office.Interop.Vi...
add_CalloutRelationshipAdded        Method                void add_CalloutRelationshipAdded(Microsoft.Office.Interop...
add_CalloutRelationshipDeleted      Method                void add_CalloutRelationshipDeleted(Microsoft.Office.Inter...
add_CellChanged                     Method                void add_CellChanged(Microsoft.Office.Interop.Visio.EAppli...
add_ConnectionsAdded                Method                void add_ConnectionsAdded(Microsoft.Office.Interop.Visio.E...
add_ConnectionsDeleted              Method                void add_ConnectionsDeleted(Microsoft.Office.Interop.Visio...
add_ContainerRelationshipAdded      Method                void add_ContainerRelationshipAdded(Microsoft.Office.Inter...
add_ContainerRelationshipDeleted    Method                void add_ContainerRelationshipDeleted(Microsoft.Office.Int...
add_ConvertToGroupCanceled          Method                void add_ConvertToGroupCanceled(Microsoft.Office.Interop.V...
add_DataRecordsetAdded              Method                void add_DataRecordsetAdded(Microsoft.Office.Interop.Visio...
add_DataRecordsetChanged            Method                void add_DataRecordsetChanged(Microsoft.Office.Interop.Vis...
add_DesignModeEntered               Method                void add_DesignModeEntered(Microsoft.Office.Interop.Visio....
add_DocumentChanged                 Method                void add_DocumentChanged(Microsoft.Office.Interop.Visio.EA...
add_DocumentCloseCanceled           Method                void add_DocumentCloseCanceled(Microsoft.Office.Interop.Vi...
add_DocumentCreated                 Method                void add_DocumentCreated(Microsoft.Office.Interop.Visio.EA...
add_DocumentOpened                  Method                void add_DocumentOpened(Microsoft.Office.Interop.Visio.EAp...
add_DocumentSaved                   Method                void add_DocumentSaved(Microsoft.Office.Interop.Visio.EApp...
add_DocumentSavedAs                 Method                void add_DocumentSavedAs(Microsoft.Office.Interop.Visio.EA...
add_EnterScope                      Method                void add_EnterScope(Microsoft.Office.Interop.Visio.EApplic...
add_ExitScope                       Method                void add_ExitScope(Microsoft.Office.Interop.Visio.EApplica...
add_FormulaChanged                  Method                void add_FormulaChanged(Microsoft.Office.Interop.Visio.EAp...
add_GroupCanceled                   Method                void add_GroupCanceled(Microsoft.Office.Interop.Visio.EApp...
add_KeyDown                         Method                void add_KeyDown(Microsoft.Office.Interop.Visio.EApplicati...
add_KeyPress                        Method                void add_KeyPress(Microsoft.Office.Interop.Visio.EApplicat...
add_KeyUp                           Method                void add_KeyUp(Microsoft.Office.Interop.Visio.EApplication...
add_MarkerEvent                     Method                void add_MarkerEvent(Microsoft.Office.Interop.Visio.EAppli...
add_MasterAdded                     Method                void add_MasterAdded(Microsoft.Office.Interop.Visio.EAppli...
add_MasterChanged                   Method                void add_MasterChanged(Microsoft.Office.Interop.Visio.EApp...
add_MasterDeleteCanceled            Method                void add_MasterDeleteCanceled(Microsoft.Office.Interop.Vis...
add_MouseDown                       Method                void add_MouseDown(Microsoft.Office.Interop.Visio.EApplica...
add_MouseMove                       Method                void add_MouseMove(Microsoft.Office.Interop.Visio.EApplica...
add_MouseUp                         Method                void add_MouseUp(Microsoft.Office.Interop.Visio.EApplicati...
add_MustFlushScopeBeginning         Method                void add_MustFlushScopeBeginning(Microsoft.Office.Interop....
add_MustFlushScopeEnded             Method                void add_MustFlushScopeEnded(Microsoft.Office.Interop.Visi...
add_NoEventsPending                 Method                void add_NoEventsPending(Microsoft.Office.Interop.Visio.EA...
add_OnKeystrokeMessageForAddon      Method                void add_OnKeystrokeMessageForAddon(Microsoft.Office.Inter...
add_PageAdded                       Method                void add_PageAdded(Microsoft.Office.Interop.Visio.EApplica...
add_PageChanged                     Method                void add_PageChanged(Microsoft.Office.Interop.Visio.EAppli...
add_PageDeleteCanceled              Method                void add_PageDeleteCanceled(Microsoft.Office.Interop.Visio...
add_QueryCancelConvertToGroup       Method                void add_QueryCancelConvertToGroup(Microsoft.Office.Intero...
add_QueryCancelDocumentClose        Method                void add_QueryCancelDocumentClose(Microsoft.Office.Interop...
add_QueryCancelGroup                Method                void add_QueryCancelGroup(Microsoft.Office.Interop.Visio.E...
add_QueryCancelMasterDelete         Method                void add_QueryCancelMasterDelete(Microsoft.Office.Interop....
add_QueryCancelPageDelete           Method                void add_QueryCancelPageDelete(Microsoft.Office.Interop.Vi...
add_QueryCancelQuit                 Method                void add_QueryCancelQuit(Microsoft.Office.Interop.Visio.EA...
add_QueryCancelReplaceShapes        Method                void add_QueryCancelReplaceShapes(Microsoft.Office.Interop...
add_QueryCancelSelectionDelete      Method                void add_QueryCancelSelectionDelete(Microsoft.Office.Inter...
add_QueryCancelStyleDelete          Method                void add_QueryCancelStyleDelete(Microsoft.Office.Interop.V...
add_QueryCancelSuspend              Method                void add_QueryCancelSuspend(Microsoft.Office.Interop.Visio...
add_QueryCancelSuspendEvents        Method                void add_QueryCancelSuspendEvents(Microsoft.Office.Interop...
add_QueryCancelUngroup              Method                void add_QueryCancelUngroup(Microsoft.Office.Interop.Visio...
add_QueryCancelWindowClose          Method                void add_QueryCancelWindowClose(Microsoft.Office.Interop.V...
add_QuitCanceled                    Method                void add_QuitCanceled(Microsoft.Office.Interop.Visio.EAppl...
add_ReplaceShapesCanceled           Method                void add_ReplaceShapesCanceled(Microsoft.Office.Interop.Vi...
add_RuleSetValidated                Method                void add_RuleSetValidated(Microsoft.Office.Interop.Visio.E...
add_RunModeEntered                  Method                void add_RunModeEntered(Microsoft.Office.Interop.Visio.EAp...
add_SelectionAdded                  Method                void add_SelectionAdded(Microsoft.Office.Interop.Visio.EAp...
add_SelectionChanged                Method                void add_SelectionChanged(Microsoft.Office.Interop.Visio.E...
add_SelectionDeleteCanceled         Method                void add_SelectionDeleteCanceled(Microsoft.Office.Interop....
add_ShapeAdded                      Method                void add_ShapeAdded(Microsoft.Office.Interop.Visio.EApplic...
add_ShapeChanged                    Method                void add_ShapeChanged(Microsoft.Office.Interop.Visio.EAppl...
add_ShapeDataGraphicChanged         Method                void add_ShapeDataGraphicChanged(Microsoft.Office.Interop....
add_ShapeExitedTextEdit             Method                void add_ShapeExitedTextEdit(Microsoft.Office.Interop.Visi...
add_ShapeLinkAdded                  Method                void add_ShapeLinkAdded(Microsoft.Office.Interop.Visio.EAp...
add_ShapeLinkDeleted                Method                void add_ShapeLinkDeleted(Microsoft.Office.Interop.Visio.E...
add_ShapeParentChanged              Method                void add_ShapeParentChanged(Microsoft.Office.Interop.Visio...
add_StyleAdded                      Method                void add_StyleAdded(Microsoft.Office.Interop.Visio.EApplic...
add_StyleChanged                    Method                void add_StyleChanged(Microsoft.Office.Interop.Visio.EAppl...
add_StyleDeleteCanceled             Method                void add_StyleDeleteCanceled(Microsoft.Office.Interop.Visi...
add_SuspendCanceled                 Method                void add_SuspendCanceled(Microsoft.Office.Interop.Visio.EA...
add_SuspendEventsCanceled           Method                void add_SuspendEventsCanceled(Microsoft.Office.Interop.Vi...
add_TextChanged                     Method                void add_TextChanged(Microsoft.Office.Interop.Visio.EAppli...
add_UngroupCanceled                 Method                void add_UngroupCanceled(Microsoft.Office.Interop.Visio.EA...
add_ViewChanged                     Method                void add_ViewChanged(Microsoft.Office.Interop.Visio.EAppli...
add_VisioIsIdle                     Method                void add_VisioIsIdle(Microsoft.Office.Interop.Visio.EAppli...
add_WindowActivated                 Method                void add_WindowActivated(Microsoft.Office.Interop.Visio.EA...
add_WindowChanged                   Method                void add_WindowChanged(Microsoft.Office.Interop.Visio.EApp...
add_WindowCloseCanceled             Method                void add_WindowCloseCanceled(Microsoft.Office.Interop.Visi...
add_WindowOpened                    Method                void add_WindowOpened(Microsoft.Office.Interop.Visio.EAppl...
add_WindowTurnedToPage              Method                void add_WindowTurnedToPage(Microsoft.Office.Interop.Visio...
BeginUndoScope                      Method                int BeginUndoScope(string bstrUndoScopeName), int IVApplic...
ClearCustomMenus                    Method                void ClearCustomMenus(), void IVApplication.ClearCustomMen...
ClearCustomToolbars                 Method                void ClearCustomToolbars(), void IVApplication.ClearCustom...
ConvertResult                       Method                double ConvertResult(System.Object StringOrNumber, System....
CreateObjRef                        Method                System.Runtime.Remoting.ObjRef CreateObjRef(type requested...
DoCmd                               Method                void DoCmd(int16 CommandID), void IVApplication.DoCmd(int1...
EndUndoScope                        Method                void EndUndoScope(int nScopeID, bool bCommit), void IVAppl...
EnumDirectories                     Method                void EnumDirectories(string PathsString, [ref] array NameA...
Equals                              Method                bool Equals(System.Object obj)
FormatResult                        Method                string FormatResult(System.Object StringOrNumber, System.O...
FormatResultEx                      Method                string FormatResultEx(System.Object StringOrNumber, System...
GetBuiltInStencilFile               Method                string GetBuiltInStencilFile(Microsoft.Office.Interop.Visi...
GetCustomStencilFile                Method                string GetCustomStencilFile(Microsoft.Office.Interop.Visio...
GetHashCode                         Method                int GetHashCode()
GetLifetimeService                  Method                System.Object GetLifetimeService()
GetPreviewEnabled                   Method                bool GetPreviewEnabled(string GalleryName), bool IVApplica...
GetType                             Method                type GetType()
GetUsageStatistic                   Method                System.Object GetUsageStatistic(int nWhichStatistic), Syst...
InitializeLifetimeService           Method                System.Object InitializeLifetimeService()
InvokeHelp                          Method                void InvokeHelp(string bstrHelpFileName, int Command, int ...
OnComponentEnterState               Method                void OnComponentEnterState(Microsoft.Office.Interop.Visio....
PurgeUndo                           Method                void PurgeUndo(), void IVApplication.PurgeUndo()
QueueMarkerEvent                    Method                int QueueMarkerEvent(string ContextString), int IVApplicat...
Quit                                Method                void Quit(), void IVApplication.Quit()
Redo                                Method                void Redo(), void IVApplication.Redo()
RegisterRibbonX                     Method                void RegisterRibbonX(System.Object SourceAddOn, Microsoft....
remove_AfterModal                   Method                void remove_AfterModal(Microsoft.Office.Interop.Visio.EApp...
remove_AfterRemoveHiddenInformation Method                void remove_AfterRemoveHiddenInformation(Microsoft.Office....
remove_AfterReplaceShapes           Method                void remove_AfterReplaceShapes(Microsoft.Office.Interop.Vi...
remove_AfterResume                  Method                void remove_AfterResume(Microsoft.Office.Interop.Visio.EAp...
remove_AfterResumeEvents            Method                void remove_AfterResumeEvents(Microsoft.Office.Interop.Vis...
remove_AppActivated                 Method                void remove_AppActivated(Microsoft.Office.Interop.Visio.EA...
remove_AppDeactivated               Method                void remove_AppDeactivated(Microsoft.Office.Interop.Visio....
remove_AppObjActivated              Method                void remove_AppObjActivated(Microsoft.Office.Interop.Visio...
remove_AppObjDeactivated            Method                void remove_AppObjDeactivated(Microsoft.Office.Interop.Vis...
remove_BeforeDataRecordsetDelete    Method                void remove_BeforeDataRecordsetDelete(Microsoft.Office.Int...
remove_BeforeDocumentClose          Method                void remove_BeforeDocumentClose(Microsoft.Office.Interop.V...
remove_BeforeDocumentSave           Method                void remove_BeforeDocumentSave(Microsoft.Office.Interop.Vi...
remove_BeforeDocumentSaveAs         Method                void remove_BeforeDocumentSaveAs(Microsoft.Office.Interop....
remove_BeforeMasterDelete           Method                void remove_BeforeMasterDelete(Microsoft.Office.Interop.Vi...
remove_BeforeModal                  Method                void remove_BeforeModal(Microsoft.Office.Interop.Visio.EAp...
remove_BeforePageDelete             Method                void remove_BeforePageDelete(Microsoft.Office.Interop.Visi...
remove_BeforeQuit                   Method                void remove_BeforeQuit(Microsoft.Office.Interop.Visio.EApp...
remove_BeforeReplaceShapes          Method                void remove_BeforeReplaceShapes(Microsoft.Office.Interop.V...
remove_BeforeSelectionDelete        Method                void remove_BeforeSelectionDelete(Microsoft.Office.Interop...
remove_BeforeShapeDelete            Method                void remove_BeforeShapeDelete(Microsoft.Office.Interop.Vis...
remove_BeforeShapeTextEdit          Method                void remove_BeforeShapeTextEdit(Microsoft.Office.Interop.V...
remove_BeforeStyleDelete            Method                void remove_BeforeStyleDelete(Microsoft.Office.Interop.Vis...
remove_BeforeSuspend                Method                void remove_BeforeSuspend(Microsoft.Office.Interop.Visio.E...
remove_BeforeSuspendEvents          Method                void remove_BeforeSuspendEvents(Microsoft.Office.Interop.V...
remove_BeforeWindowClosed           Method                void remove_BeforeWindowClosed(Microsoft.Office.Interop.Vi...
remove_BeforeWindowPageTurn         Method                void remove_BeforeWindowPageTurn(Microsoft.Office.Interop....
remove_BeforeWindowSelDelete        Method                void remove_BeforeWindowSelDelete(Microsoft.Office.Interop...
remove_CalloutRelationshipAdded     Method                void remove_CalloutRelationshipAdded(Microsoft.Office.Inte...
remove_CalloutRelationshipDeleted   Method                void remove_CalloutRelationshipDeleted(Microsoft.Office.In...
remove_CellChanged                  Method                void remove_CellChanged(Microsoft.Office.Interop.Visio.EAp...
remove_ConnectionsAdded             Method                void remove_ConnectionsAdded(Microsoft.Office.Interop.Visi...
remove_ConnectionsDeleted           Method                void remove_ConnectionsDeleted(Microsoft.Office.Interop.Vi...
remove_ContainerRelationshipAdded   Method                void remove_ContainerRelationshipAdded(Microsoft.Office.In...
remove_ContainerRelationshipDeleted Method                void remove_ContainerRelationshipDeleted(Microsoft.Office....
remove_ConvertToGroupCanceled       Method                void remove_ConvertToGroupCanceled(Microsoft.Office.Intero...
remove_DataRecordsetAdded           Method                void remove_DataRecordsetAdded(Microsoft.Office.Interop.Vi...
remove_DataRecordsetChanged         Method                void remove_DataRecordsetChanged(Microsoft.Office.Interop....
remove_DesignModeEntered            Method                void remove_DesignModeEntered(Microsoft.Office.Interop.Vis...
remove_DocumentChanged              Method                void remove_DocumentChanged(Microsoft.Office.Interop.Visio...
remove_DocumentCloseCanceled        Method                void remove_DocumentCloseCanceled(Microsoft.Office.Interop...
remove_DocumentCreated              Method                void remove_DocumentCreated(Microsoft.Office.Interop.Visio...
remove_DocumentOpened               Method                void remove_DocumentOpened(Microsoft.Office.Interop.Visio....
remove_DocumentSaved                Method                void remove_DocumentSaved(Microsoft.Office.Interop.Visio.E...
remove_DocumentSavedAs              Method                void remove_DocumentSavedAs(Microsoft.Office.Interop.Visio...
remove_EnterScope                   Method                void remove_EnterScope(Microsoft.Office.Interop.Visio.EApp...
remove_ExitScope                    Method                void remove_ExitScope(Microsoft.Office.Interop.Visio.EAppl...
remove_FormulaChanged               Method                void remove_FormulaChanged(Microsoft.Office.Interop.Visio....
remove_GroupCanceled                Method                void remove_GroupCanceled(Microsoft.Office.Interop.Visio.E...
remove_KeyDown                      Method                void remove_KeyDown(Microsoft.Office.Interop.Visio.EApplic...
remove_KeyPress                     Method                void remove_KeyPress(Microsoft.Office.Interop.Visio.EAppli...
remove_KeyUp                        Method                void remove_KeyUp(Microsoft.Office.Interop.Visio.EApplicat...
remove_MarkerEvent                  Method                void remove_MarkerEvent(Microsoft.Office.Interop.Visio.EAp...
remove_MasterAdded                  Method                void remove_MasterAdded(Microsoft.Office.Interop.Visio.EAp...
remove_MasterChanged                Method                void remove_MasterChanged(Microsoft.Office.Interop.Visio.E...
remove_MasterDeleteCanceled         Method                void remove_MasterDeleteCanceled(Microsoft.Office.Interop....
remove_MouseDown                    Method                void remove_MouseDown(Microsoft.Office.Interop.Visio.EAppl...
remove_MouseMove                    Method                void remove_MouseMove(Microsoft.Office.Interop.Visio.EAppl...
remove_MouseUp                      Method                void remove_MouseUp(Microsoft.Office.Interop.Visio.EApplic...
remove_MustFlushScopeBeginning      Method                void remove_MustFlushScopeBeginning(Microsoft.Office.Inter...
