bin_start,bin_end,count
-3.000000,-2.994995,0
-2.994995,-2.989990,0
-2.989990,-2.984985,0
-2.984985,-2.979980,0
-2.979980,-2.974975,0
-2.974975,-2.969970,0
-2.969970,-2.964965,0
-2.964965,-2.959960,0
-2.959960,-2.954955,0
-2.954955,-2.949950,0
-2.949950,-2.944945,0
-2.944945,-2.939940,0
-2.939940,-2.934935,0
-2.934935,-2.929930,0
-2.929930,-2.924925,0
-2.924925,-2.919920,0
-2.919920,-2.914915,0
-2.914915,-2.909910,0
-2.909910,-2.904905,0
-2.904905,-2.899900,0
-2.899900,-2.894895,0
-2.894895,-2.889890,0
-2.889890,-2.884885,0
-2.884885,-2.879880,0
-2.879880,-2.874875,0
-2.874875,-2.869870,0
-2.869870,-2.864865,0
-2.864865,-2.859860,0
-2.859860,-2.854855,0
-2.854855,-2.849850,0
-2.849850,-2.844845,0
-2.844845,-2.839840,0
-2.839840,-2.834835,0
-2.834835,-2.829830,0
-2.829830,-2.824825,0
-2.824825,-2.819820,0
-2.819820,-2.814815,0
-2.814815,-2.809810,0
-2.809810,-2.804805,0
-2.804805,-2.799800,0
-2.799800,-2.794795,1
-2.794795,-2.789790,0
-2.789790,-2.784785,0
-2.784785,-2.779780,0
-2.779780,-2.774775,0
-2.774775,-2.769770,0
-2.769770,-2.764765,0
-2.764765,-2.759760,0
-2.759760,-2.754755,0
-2.754755,-2.749750,0
-2.749750,-2.744745,0
-2.744745,-2.739740,0
-2.739740,-2.734735,2
-2.734735,-2.729730,0
-2.729730,-2.724725,0
-2.724725,-2.719720,0
-2.719720,-2.714715,1
-2.714715,-2.709710,0
-2.709710,-2.704705,0
-2.704705,-2.699700,0
-2.699700,-2.694695,0
-2.694695,-2.689690,0
-2.689690,-2.684685,0
-2.684685,-2.679680,0
-2.679680,-2.674675,0
-2.674675,-2.669670,0
-2.669670,-2.664665,1
-2.664665,-2.659660,0
-2.659660,-2.654655,0
-2.654655,-2.649650,0
-2.649650,-2.644645,0
-2.644645,-2.639640,0
-2.639640,-2.634635,0
-2.634635,-2.629630,0
-2.629630,-2.624625,0
-2.624625,-2.619620,0
-2.619620,-2.614615,1
-2.614615,-2.609610,0
