PROYECTO,SUBPROYECTO,DISCIPLINA,ID PROYECTO,ID SUBPROYECTO,ID DISCIPLINA,ANO,NUMERO,NOMBRE,REVISION,FECHA,UBICACION,PAIS
PARQUE SOLAR SANTA CLARA,SUBESTACIÓN SANTA CLARA 138kV,ELECTROMECÁNICA,PS,SESC,ELEC,2025,1,Memoria de cálculo de coordinación del aislamiento,0,MAYO-2025,"GUERRA, SANTO DOMINGO",REPÚBLICA DOMINICANA
PARQUE SOLAR SANTA CLARA,SUBESTACIÓN SANTA CLARA 138kV,ELECTROMECÁNICA,PS,SESC,ELEC,2025,2,Memoria descriptiva ,0,MAYO-2025,"GUERRA, SANTO DOMINGO",REPÚBLICA DOMINICANA
PARQUE SOLAR SANTA CLARA,SUBESTACIÓN SANTA CLARA 138kV,ELECTROMECÁNICA,PS,SESC,ELEC,2025,3,Especificaciones técnicas ,0,MAYO-2025,"GUERRA, SANTO DOMINGO",REPÚBLICA DOMINICANA
PARQUE SOLAR SANTA CLARA,SUBESTACIÓN SANTA CLARA 138kV,ELECTROMECÁNICA,PS,SESC,ELEC,2025,4,Memoria de cálculo de apantallamiento,0,MAYO-2025,"GUERRA, SANTO DOMINGO",REPÚBLICA DOMINICANA
PARQUE SOLAR SANTA CLARA,SUBESTACIÓN SANTA CLARA 138kV,ELECTROMECÁNICA,PS,SESC,ELEC,2025,5,Memoria de cálculo de la malla de tierra,0,MAYO-2025,"GUERRA, SANTO DOMINGO",REPÚBLICA DOMINICANA
PARQUE SOLAR SANTA CLARA,SUBESTACIÓN SANTA CLARA 138kV,ELECTROMECÁNICA,PS,SESC,ELEC,2025,6,Memoria de cálculo cable de media tensión,0,MAYO-2025,"GUERRA, SANTO DOMINGO",REPÚBLICA DOMINICANA
PARQUE SOLAR SANTA CLARA,SUBESTACIÓN SANTA CLARA 138kV,ELECTROMECÁNICA,PS,SESC,ELEC,2025,7,Cálculo de los servicios auxiliares ,0,MAYO-2025,"GUERRA, SANTO DOMINGO",REPÚBLICA DOMINICANA
PARQUE SOLAR SANTA CLARA,SUBESTACIÓN SANTA CLARA 138kV,ELECTROMECÁNICA,PS,SESC,ELEC,2025,8,Memoria de Calculo de Barra,0,MAYO-2025,"GUERRA, SANTO DOMINGO",REPÚBLICA DOMINICANA
PARQUE SOLAR SANTA CLARA,SUBESTACIÓN SANTA CLARA 138kV,ELECTROMECÁNICA,PS,SESC,ELEC,2025,9,Memoria de Iluminación Exterior,0,MAYO-2025,"GUERRA, SANTO DOMINGO",REPÚBLICA DOMINICANA
PARQUE SOLAR SANTA CLARA,SUBESTACIÓN SANTA CLARA 138kV,ELECTROMECÁNICA,PS,SESC,ELEC,2025,10,Memoria de Selección de Baterías SC,0,MAYO-2025,"GUERRA, SANTO DOMINGO",REPÚBLICA DOMINICANA
PARQUE SOLAR SANTA CLARA,SUBESTACIÓN SANTA CLARA 138kV,ELECTROMECÁNICA,PS,SESC,ELEC,2025,11,Memoria de Selección de Baterías ETED,0,MAYO-2025,"GUERRA, SANTO DOMINGO",REPÚBLICA DOMINICANA
PARQUE SOLAR SANTA CLARA,SUBESTACIÓN SANTA CLARA 138kV,OBRA CIVIL,PS,SESC,CIV,2025,1,Estudio de suelos en el área de emplazamiento del proyecto.,0,MAYO-2025,"GUERRA, SANTO DOMINGO",REPÚBLICA DOMINICANA
PARQUE SOLAR SANTA CLARA,SUBESTACIÓN SANTA CLARA 138kV,OBRA CIVIL,PS,SESC,CIV,2025,2,Memoria técnica de cálculo estructural caseta de control ETED,0,MAYO-2025,"GUERRA, SANTO DOMINGO",REPÚBLICA DOMINICANA
PARQUE SOLAR SANTA CLARA,SUBESTACIÓN SANTA CLARA 138kV,OBRA CIVIL,PS,SESC,CIV,2025,3,Memoria técnica de cálculo estructural caseta de control SC,0,MAYO-2025,"GUERRA, SANTO DOMINGO",REPÚBLICA DOMINICANA
