model,prompt_tokens,completion_tokens
gpt-3.5-turbo-0125,0.5,1.5
gpt-3.5-turbo-0301,1.5,2
gpt-4,30,60
gpt-4-0125-preview,10,30
gpt-4o,2.5,15
gpt-4o-2024-05-13,5,15
gpt-4o-2024-08-06,2.5,10
gpt-4o-mini,0.15,0.6
gpt-4o-mini-2024-07-18,0.15,0.6
gpt-4o-2024-11-20,2.5,15
o1,15,60
o1-2024-12-17,15,60
o1-preview,15,60
o1-preview-2024-09-12,15,60
o1-mini,3,12
o1-mini-2024-09-12,3,12
