URL,Status,Depth,Content Type,Links Found,Success,Error
https://swayamdani.com,200,0,text/html; charset=utf-8,39,True,
https://github.com/SwayamDani/unirideshare,200,1,text/html; charset=utf-8,194,True,
https://drive.google.com/file/d/1OGRKFoXzmqF6TTssRr_DY0AosRBd_lEl/view?usp=sharing,200,1,text/html; charset=utf-8,6,True,
https://github.com/SwayamDani/password-security,404,1,,0,False,HTTP Error: 404
https://itinerary-generator-chi.vercel.app/,200,1,text/html; charset=utf-8,7,True,
https://web-production-4a51.up.railway.app/,200,1,text/html; charset=utf-8,4,True,
https://outfit-creator-one.vercel.app/,200,1,text/html; charset=utf-8,3,True,
https://github.com/SwayamDani/dr-ai,404,1,,0,False,HTTP Error: 404
https://password-manager-eight-lovat.vercel.app,200,1,text/html; charset=utf-8,16,True,
https://github.com/SwayamDani/styleai,404,1,,0,False,HTTP Error: 404
https://github.com/SwayamDani/travel-planner,404,1,,0,False,HTTP Error: 404
https://github.com/SwayamDani,200,1,text/html; charset=utf-8,155,True,

# Generated at:,2025-05-14 12:21:31
# Total URLs:,12
